algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Modified,20,20,187.82496569827424,0.0033607000077608973,4,improvement_pct=0.7896,small_balanced,14,instance_014.json
GA_Original,20,20,186.46938610833146,5.00047599998652,3222,,small_balanced,14,instance_014.json
GA_Modified,20,20,189.31990267432752,5.000085899984697,3605,improvement_pct=0.0000,small_balanced,14,instance_014.json
MMR_Original,20,20,201.60498447151826,0.00020300000323913991,20,,small_balanced,15,instance_015.json
MMR_Modified,20,20,199.04851123904263,0.000826600007712841,3,improvement_pct=1.2681,small_balanced,15,instance_015.json
GA_Original,20,20,201.95369514745406,5.001140500011388,4598,,small_balanced,15,instance_015.json
GA_Modified,20,20,201.60498447151826,5.002176500012865,2330,improvement_pct=0.0000,small_balanced,15,instance_015.json
MMR_Original,20,20,167.74370889554902,0.0007513000164180994,20,,small_balanced,16,instance_016.json
MMR_Modified,20,20,165.10022002235092,0.0030687000253237784,4,improvement_pct=1.5759,small_balanced,16,instance_016.json
GA_Original,20,20,167.7608017024083,5.001363699993817,3172,,small_balanced,16,instance_016.json
GA_Modified,20,20,157.50245121205486,5.003499899990857,2168,improvement_pct=6.1053,small_balanced,16,instance_016.json
MMR_Original,20,20,203.36378848704373,0.0008222000033129007,20,,small_balanced,17,instance_017.json
MMR_Modified,20,20,199.15191440661704,0.0036731000000145286,4,improvement_pct=2.0711,small_balanced,17,instance_017.json
GA_Original,20,20,215.39053759973754,5.0002457999798935,3147,,small_balanced,17,instance_017.json
GA_Modified,20,20,202.2554662846722,5.005862099991646,2216,improvement_pct=0.5450,small_balanced,17,instance_017.json
MMR_Original,20,20,220.59393517456112,0.0009581999911461025,20,,small_balanced,18,instance_018.json
MMR_Modified,20,20,212.73365183414583,0.005682499991962686,4,improvement_pct=3.5632,small_balanced,18,instance_018.json
GA_Original,20,20,206.81818489966028,5.001320500014117,2825,,small_balanced,18,instance_018.json
GA_Modified,20,20,210.2731635546822,5.00093249999918,2440,improvement_pct=4.6786,small_balanced,18,instance_018.json
MMR_Original,20,20,156.4216942429421,0.0004695999959949404,20,,small_balanced,19,instance_019.json
MMR_Modified,20,20,156.13581599666668,0.003336900001158938,3,improvement_pct=0.1828,small_balanced,19,instance_019.json
GA_Original,20,20,146.012780996925,5.002319799998077,3407,,small_balanced,19,instance_019.json
GA_Modified,20,20,156.4216942429421,5.0058410999772605,1226,improvement_pct=0.0000,small_balanced,19,instance_019.json
MMR_Original,20,20,157.9606523734113,0.005549099994823337,20,,small_balanced,20,instance_020.json
MMR_Modified,20,20,157.9606523734113,0.012606000003870577,2,improvement_pct=0.0000,small_balanced,20,instance_020.json
GA_Original,20,20,148.3263568407878,5.000828299991554,3847,,small_balanced,20,instance_020.json
GA_Modified,20,20,157.9606523734113,5.001071100006811,2879,improvement_pct=0.0000,small_balanced,20,instance_020.json
MMR_Original,10,20,587.3558738802758,0.0002696999872568995,10,,small_scarce,1,instance_001.json
MMR_Modified,10,20,587.3558738802758,0.0023856000043451786,2,improvement_pct=0.0000,small_scarce,1,instance_001.json
GA_Original,10,20,575.4972696612995,5.000649699999485,3295,,small_scarce,1,instance_001.json
GA_Modified,10,20,569.5895069801547,5.0006824000156485,1823,improvement_pct=3.0248,small_scarce,1,instance_001.json
MMR_Original,10,20,447.85221637693746,0.00011140000424347818,10,,small_scarce,2,instance_002.json
MMR_Modified,10,20,447.85221637693746,0.0003980000037699938,2,improvement_pct=0.0000,small_scarce,2,instance_002.json
GA_Original,10,20,447.85221637693746,5.000026599998819,7547,,small_scarce,2,instance_002.json
GA_Modified,10,20,447.85221637693746,5.001170500006992,4356,improvement_pct=0.0000,small_scarce,2,instance_002.json
MMR_Original,10,20,554.0771019412281,7.229999755509198e-05,10,,small_scarce,3,instance_003.json
MMR_Modified,10,20,549.7455386839451,0.00047039997298270464,3,improvement_pct=0.7818,small_scarce,3,instance_003.json
GA_Original,10,20,537.2505523264991,5.000748299993575,6512,,small_scarce,3,instance_003.json
GA_Modified,10,20,545.0278684462285,5.0009429000201635,4546,improvement_pct=1.6332,small_scarce,3,instance_003.json
